	contamination	data	f1_macro	in_f1	in_prec	in_rec	inlier_classes	labeled_data	n_oe	out_f1	out_prec	out_rec	outlier_classes	seed	test_size	use_ivis
35	0.16666666666666666	test	0.9163763066202091	0.975609756097561	0.9523809523809523	1.0	[0]	1.0	0.0	0.8571428571428571	1.0	0.75	[6]	44.0	0.2	1.0
36	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[7]	42.0	0.2	1.0
37	0.16666666666666666	test	0.9163763066202091	0.975609756097561	0.9523809523809523	1.0	[0]	1.0	0.0	0.8571428571428571	1.0	0.75	[7]	42.0	0.2	1.0
38	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[7]	43.0	0.2	1.0
39	0.16666666666666666	test	0.9316239316239316	0.9743589743589743	1.0	0.95	[0]	1.0	0.0	0.888888888888889	0.8	1.0	[7]	43.0	0.2	1.0
40	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[7]	44.0	0.2	1.0
41	0.16666666666666666	test	0.8500000000000001	0.9500000000000001	0.95	0.95	[0]	1.0	0.0	0.75	0.75	0.75	[7]	44.0	0.2	1.0
42	0.16666666666666666	train	0.9163763066202091	0.975609756097561	0.9523809523809523	1.0	[0]	1.0	0.0	0.8571428571428571	1.0	0.75	[8]	42.0	0.2	1.0
43	0.16666666666666666	test	0.8095238095238095	0.9523809523809523	0.9090909090909091	1.0	[0]	1.0	0.0	0.6666666666666666	1.0	0.5	[8]	42.0	0.2	1.0
44	0.16666666666666666	train	0.8922558922558923	0.9696969696969697	0.9411764705882353	1.0	[0]	1.0	0.0	0.8148148148148148	1.0	0.6875	[8]	43.0	0.2	1.0
45	0.16666666666666666	test	0.9163763066202091	0.975609756097561	0.9523809523809523	1.0	[0]	1.0	0.0	0.8571428571428571	1.0	0.75	[8]	43.0	0.2	1.0
46	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[8]	44.0	0.2	1.0
47	0.16666666666666666	test	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[8]	44.0	0.2	1.0
48	0.16666666666666666	train	0.9807653776798237	0.9937888198757764	0.9876543209876543	1.0	[0]	1.0	0.0	0.967741935483871	1.0	0.9375	[9]	42.0	0.2	1.0
49	0.16666666666666666	test	0.6651162790697674	0.9302325581395349	0.8695652173913043	1.0	[0]	1.0	0.0	0.4	1.0	0.25	[9]	42.0	0.2	1.0
50	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[9]	43.0	0.2	1.0
51	0.16666666666666666	test	0.6651162790697674	0.9302325581395349	0.8695652173913043	1.0	[0]	1.0	0.0	0.4	1.0	0.25	[9]	43.0	0.2	1.0
52	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[9]	44.0	0.2	1.0
53	0.16666666666666666	test	0.6651162790697674	0.9302325581395349	0.8695652173913043	1.0	[0]	1.0	0.0	0.4	1.0	0.25	[9]	44.0	0.2	1.0
54	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[10]	42.0	0.2	1.0
55	0.16666666666666666	test	0.9163763066202091	0.975609756097561	0.9523809523809523	1.0	[0]	1.0	0.0	0.8571428571428571	1.0	0.75	[10]	42.0	0.2	1.0
56	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[10]	43.0	0.2	1.0
57	0.16666666666666666	test	0.6651162790697674	0.9302325581395349	0.8695652173913043	1.0	[0]	1.0	0.0	0.4	1.0	0.25	[10]	43.0	0.2	1.0
58	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[10]	44.0	0.2	1.0
59	0.16666666666666666	test	0.8500000000000001	0.9500000000000001	0.95	0.95	[0]	1.0	0.0	0.75	0.75	0.75	[10]	44.0	0.2	1.0
60	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[11]	42.0	0.2	1.0
61	0.16666666666666666	test	0.8095238095238095	0.9523809523809523	0.9090909090909091	1.0	[0]	1.0	0.0	0.6666666666666666	1.0	0.5	[11]	42.0	0.2	1.0
62	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[11]	43.0	0.2	1.0
63	0.16666666666666666	test	0.9163763066202091	0.975609756097561	0.9523809523809523	1.0	[0]	1.0	0.0	0.8571428571428571	1.0	0.75	[11]	43.0	0.2	1.0
64	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[11]	44.0	0.2	1.0
65	0.16666666666666666	test	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[11]	44.0	0.2	1.0
66	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[12]	42.0	0.2	1.0
67	0.16666666666666666	test	0.6651162790697674	0.9302325581395349	0.8695652173913043	1.0	[0]	1.0	0.0	0.4	1.0	0.25	[12]	42.0	0.2	1.0
68	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[12]	43.0	0.2	1.0
69	0.16666666666666666	test	0.45454545454545453	0.9090909090909091	0.8333333333333334	1.0	[0]	1.0	0.0	0.0	0.0	0.0	[12]	43.0	0.2	1.0
70	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[12]	44.0	0.2	1.0
71	0.16666666666666666	test	0.8095238095238095	0.9523809523809523	0.9090909090909091	1.0	[0]	1.0	0.0	0.6666666666666666	1.0	0.5	[12]	44.0	0.2	1.0
72	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[13]	42.0	0.2	1.0
73	0.16666666666666666	test	0.6651162790697674	0.9302325581395349	0.8695652173913043	1.0	[0]	1.0	0.0	0.4	1.0	0.25	[13]	42.0	0.2	1.0
74	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[13]	43.0	0.2	1.0
75	0.16666666666666666	test	0.8095238095238095	0.9523809523809523	0.9090909090909091	1.0	[0]	1.0	0.0	0.6666666666666666	1.0	0.5	[13]	43.0	0.2	1.0
76	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[13]	44.0	0.2	1.0
77	0.16666666666666666	test	0.45454545454545453	0.9090909090909091	0.8333333333333334	1.0	[0]	1.0	0.0	0.0	0.0	0.0	[13]	44.0	0.2	1.0
78	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[14]	42.0	0.2	1.0
79	0.16666666666666666	test	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[14]	42.0	0.2	1.0
80	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[14]	43.0	0.2	1.0
81	0.16666666666666666	test	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[14]	43.0	0.2	1.0
82	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[14]	44.0	0.2	1.0
83	0.16666666666666666	test	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[14]	44.0	0.2	1.0
84	0.16666666666666666	train	1.0	1.0	1.0	1.0	[0]	1.0	0.0	1.0	1.0	1.0	[15]	42.0	0.2	1.0
