	param_tagged_docs__lower	param_vectorize__min_count	param_reduce_dim__set_op_mix_ratio	param_reduce_dim__n_components	param_reduce_dim__metric	param_vectorize__window	param_vectorize__size	param_tagged_docs	subset	contamination	data_frac	dataset_name	mean_test_f1_macro	mean_test_f1_micro	mean_test_out_f1	mean_test_out_prec	mean_test_out_rec	mean_test_in_f1	params	param_vectorize__min_df	param_vectorize	param_reduce_dim	param_classify__metric	param_classify	mean_score_time	mean_fit_time
134		25.0	0.0	200.0	euclidean	50.0	50.0	TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.4658042139381801	0.6777791956443141	0.129328095223503	0.08566895138723728	0.2638848642905438	0.8022803326528573	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 200, 'reduce_dim__set_op_mix_ratio': 0.0, 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(min_count=25, seed=42, size=50, window=300), 'vectorize__min_count': 25, 'vectorize__size': 50, 'vectorize__window': 50}		D2VTransformer(min_count=25, seed=42, size=50, window=300)	UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	14.394710779190063	100.0001271565755
135		25.0	0.0	50.0	euclidean	50.0	50.0	TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.465499058031914	0.6581360061889874	0.1455309553385822	0.09409630905540584	0.326040761132039	0.7854671607252458	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 50, 'reduce_dim__set_op_mix_ratio': 0.0, 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(min_count=25, seed=42, size=50, window=300), 'vectorize__min_count': 25, 'vectorize__size': 50, 'vectorize__window': 50}		D2VTransformer(min_count=25, seed=42, size=50, window=300)	UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	9.56880267461141	56.48610663414002
136		25.0	0.0	50.0	euclidean	100.0	50.0	TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.4641569419194926	0.6575412333312065	0.14267396267802435	0.0922976377380874	0.31628513474355263	0.7856399211609609	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 50, 'reduce_dim__set_op_mix_ratio': 0.0, 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(min_count=25, seed=42, size=50, window=300), 'vectorize__min_count': 25, 'vectorize__size': 50, 'vectorize__window': 100}		D2VTransformer(min_count=25, seed=42, size=50, window=300)	UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	9.648539622624718	65.52816120783488
137		25.0	0.0	200.0	euclidean	100.0	50.0	TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.4637025959377748	0.6643853415640486	0.13565069255538068	0.08851999225237189	0.29019768827071063	0.7917544993201691	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 200, 'reduce_dim__set_op_mix_ratio': 0.0, 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(min_count=25, seed=42, size=50, window=300), 'vectorize__min_count': 25, 'vectorize__size': 50, 'vectorize__window': 100}		D2VTransformer(min_count=25, seed=42, size=50, window=300)	UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	22.301595131556198	114.37648328145343
138		25.0	0.0	50.0	euclidean	300.0	50.0	TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.4592205851128298	0.6608085295306153	0.1295087506910167	0.08461259987099838	0.2787356321839081	0.7889324195346427	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 50, 'reduce_dim__set_op_mix_ratio': 0.0, 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(min_count=25, seed=42, size=50, window=300), 'vectorize__min_count': 25, 'vectorize__size': 50, 'vectorize__window': 300}		D2VTransformer(min_count=25, seed=42, size=50, window=300)	UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	8.778080701828003	107.3191322485606
139		25.0	0.0	50.0	euclidean	10.0	50.0	TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.4567827201716094	0.6370043891830962	0.14456764807642003	0.09185643330812993	0.34248526997005696	0.7689977922667987	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 50, 'reduce_dim__set_op_mix_ratio': 0.0, 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(min_count=25, seed=42, window=10), 'vectorize__min_count': 25, 'vectorize__size': 50, 'vectorize__window': 10}		D2VTransformer(min_count=25, seed=42, window=10)	UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	6.338978290557861	32.38173484802246
140		25.0	0.0	50.0	euclidean	5.0	50.0	TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.4547852992549204	0.6459297704119611	0.13229416510001907	0.08484459985463977	0.3018046298979362	0.7772764334098218	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 50, 'reduce_dim__set_op_mix_ratio': 0.0, 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(min_count=25, seed=42, window=10), 'vectorize__min_count': 25, 'vectorize__size': 50, 'vectorize__window': 5}		D2VTransformer(min_count=25, seed=42, window=10)	UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	6.207325220108032	31.219823280970253
141			0.0	50.0	euclidean					0.1	0.1	imdb_20news	0.4528072502396094	0.7766234128756461	0.04080573014426609	0.032625720199138564	0.0771032550951415	0.8648087703349528	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 50, 'reduce_dim__set_op_mix_ratio': 0.0, 'vectorize': TfidfVectorizer(min_df=25, stop_words='english'), 'vectorize__min_df': 10}	10.0	TfidfVectorizer(min_df=25, stop_words='english')	UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	79.05287877718608	35.80080334345499
142										0.1	0.1	imdb_20news	0.4503174781884141	0.8139609785405899	0.003236245954692557	0.003189792663476874	0.003284072249589491	0.8973987104221356	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': 'passthrough', 'vectorize': TfidfVectorizer(min_df=75, stop_words='english'), 'vectorize__min_df': 75}	75.0	TfidfVectorizer(min_df=75, stop_words='english')	passthrough	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	0.9422676563262941	1.8400967915852864
143										0.1	0.1	imdb_20news	0.4496423646570808	0.811728902145941	0.0032441200324412004	0.003205128205128205	0.003284072249589491	0.8960406092817204	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': 'passthrough', 'vectorize': TfidfVectorizer(min_df=75, stop_words='english'), 'vectorize__min_df': 25}	25.0	TfidfVectorizer(min_df=75, stop_words='english')	passthrough	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	0.9519821802775064	1.9375952084859207
