,f1_macro,in_f1,out_f1,out_rec,out_prec
0,0.9560439094190563,0.9919152190538622,0.9201725997842504,0.9312227074235808,0.9093816631130064
1,0.9772721198567386,0.9959121382242329,0.9586321014892443,0.9486899563318777,0.9687848383500557
2,0.9745436879077558,0.995482009689184,0.9536053661263276,0.9312227074235808,0.97709049255441
3,0.9777676199633503,0.9960233153565398,0.9595119245701608,0.9443231441048034,0.9751972942502819
4,0.9731893862699903,0.995145895827652,0.9512328767123287,0.9475982532751092,0.9548954895489549
5,0.9751631958563017,0.9955303608416003,0.9547960308710032,0.9454148471615721,0.9643652561247216
6,0.9748727894420305,0.9954756064322704,0.9542699724517906,0.9454148471615721,0.9632925472747497
7,0.9805958965518735,0.9965118814039677,0.9646799116997792,0.9541484716157205,0.9754464285714286
8,0.9731893862699903,0.995145895827652,0.9512328767123287,0.9475982532751092,0.9548954895489549
9,0.9754782643952346,0.9955846279640228,0.9553719008264463,0.9465065502183406,0.96440489432703
10,0.7421524312750811,0.9414726947179946,0.5428321678321678,0.6779475982532751,0.45262390670553937
11,0.9612461217286998,0.9927797833935018,0.9297124600638978,0.9530567685589519,0.9074844074844075
