	Unnamed: 0	allow_noise	cluster_n	completeness	f1_macro	f1_macro_LOF	hash	homogeneity	in_f1	in_f1_LOF	min_cluster_size	mix_ratio	model_data_frac	model_desc	model_epochs	model_min_count	model_name	model_path	model_train_data	model_type	n_comps	out_f1	out_f1_LOF	out_prec	out_prec_LOF	out_rec	out_rec_LOF	test_data_contamination	test_data_fraction	test_data_name	test_data_path	test_data_seed	time	umap_metric	v_measure
10	10	0.0	3.0	1.0	0.5421358289032853	0.5398350039228998	3|1.0|cosine|15|False	0.0	0.912575507962658	0.9121361889071942	15.0	1.0	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	3.0	0.17169614984391265	0.16753381893860564	0.16385302879841113	0.15988083416087387	0.18032786885245905	0.17595628415300546	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	23.989491655003807	cosine	0.0
11	11	0.0	3.0	1.0	0.6801853277264153	0.5381093851876106	3|0.4|cosine|90|False	0.0	0.9389346512904996	0.9118066996155958	90.0	0.4	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	3.0	0.4214360041623309	0.16441207075962538	0.4021847070506455	0.15690168818272096	0.4426229508196721	0.1726775956284153	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	17.167911484997607	cosine	0.0
12	12	0.0	3.0	1.0	0.5691705224228149	0.5381093851876106	3|0.4|cosine|45|False	0.0	0.9177375068643602	0.9118066996155958	45.0	0.4	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	3.0	0.22060353798126955	0.16441207075962538	0.21052631578947367	0.15690168818272096	0.23169398907103825	0.1726775956284153	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	17.13781404800102	cosine	0.0
13	13	0.0	3.0	1.0	0.4782879356975876	0.5381093851876106	3|0.4|cosine|15|False	0.0	0.9003844041735309	0.9118066996155958	15.0	0.4	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	3.0	0.05619146722164413	0.16441207075962538	0.05362462760675273	0.15690168818272096	0.05901639344262295	0.1726775956284153	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	16.906456916003663	cosine	0.0
14	14	0.0	3.0	1.0	0.6416465093049581	0.5415606226581888	3|0.3|cosine|90|False	0.0	0.9315760571114772	0.912465678198792	90.0	0.3	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	3.0	0.3517169614984391	0.17065556711758587	0.3356504468718967	0.1628599801390268	0.3693989071038251	0.17923497267759564	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	16.054620905000775	cosine	0.0
15	15	0.0	3.0	1.0	0.5634184599718511	0.5415606226581888	3|0.3|cosine|45|False	0.0	0.9166392092257	0.912465678198792	45.0	0.3	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	3.0	0.21019771071800208	0.17065556711758587	0.2005958291956306	0.1628599801390268	0.2207650273224044	0.17923497267759564	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	15.747558838003895	cosine	0.0
16	16	0.0	3.0	1.0	0.5202779915896231	0.5415606226581888	3|0.3|cosine|15|False	0.0	0.9084019769357494	0.912465678198792	15.0	0.3	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	3.0	0.13215400624349638	0.17065556711758587	0.12611717974180736	0.1628599801390268	0.13879781420765028	0.17923497267759564	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	15.683934797998516	cosine	0.0
17	17	0.0	3.0	1.0	0.5352333539621288	0.5409854164130925	3|0.15|cosine|45|False	0.0	0.911257550796266	0.912355848434926	45.0	0.15	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	3.0	0.1592091571279917	0.16961498439125908	0.1519364448857994	0.1618669314796425	0.16721311475409836	0.17814207650273226	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	14.003631915002188	cosine	0.0
18	18	0.0	3.0	1.0	0.5398350039228998	0.5409854164130925	3|0.15|cosine|15|False	0.0	0.9121361889071942	0.912355848434926	15.0	0.15	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	3.0	0.16753381893860564	0.16961498439125908	0.15988083416087387	0.1618669314796425	0.17595628415300546	0.17814207650273226	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	14.195627365996186	cosine	0.0
19	19	0.0	3.0	1.0	0.4886416481093223	0.5104994854229846	3|0.0|cosine|90|False	0.0	0.9023613399231192	0.9065348709500276	90.0	0.0	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	3.0	0.0749219562955255	0.11446409989594172	0.07149950347567031	0.10923535253227408	0.07868852459016394	0.12021857923497267	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	20.21665028500138	cosine	0.0
20	20	0.0	3.0	1.0	0.5404102101679962	0.5012961855014426	15|0.3|cosine|45|False	0.0	0.91224601867106	0.9047775947281712	45.0	0.3	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	15.0	0.16857440166493234	0.09781477627471384	0.1608738828202582	0.09334657398212512	0.17704918032786884	0.10273224043715846	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	19.898053053999323	cosine	0.0
21	21	0.0	3.0	1.0	0.5133755166484665	0.5104994854229846	3|0.0|cosine|45|False	0.0	0.9070840197693576	0.9065348709500276	45.0	0.0	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	3.0	0.11966701352757544	0.11446409989594172	0.11420059582919564	0.10923535253227408	0.12568306010928962	0.12021857923497267	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	20.111583865000288	cosine	0.0
22	22	0.0	3.0	1.0	0.5680201099326221	0.5093490729327919	15|0.4|cosine|15|False	0.0	0.9175178473366282	0.9063152114222957	15.0	0.4	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	15.0	0.21852237252861606	0.11238293444328826	0.20854021847070506	0.10724925521350546	0.2295081967213115	0.1180327868852459	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	21.35296788100095	cosine	0.0
23	23	0.0	3.0	1.0	0.5093490729327919	0.5168267541190447	15|1.0|cosine|15|False	0.0	0.9063152114222957	0.9077429983525536	15.0	1.0	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	15.0	0.11238293444328826	0.1259105098855359	0.10724925521350546	0.12015888778550148	0.1180327868852459	0.13224043715846995	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	31.666996061998358	cosine	0.0
24	24	0.0	3.0	1.0	0.7463340459124985	0.5128003104033702	200|1.0|cosine|45|False	0.0	0.9515650741350906	0.9069741900054916	45.0	1.0	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	200.0	0.5411030176899063	0.1186264308012487	0.5163853028798411	0.11320754716981132	0.5683060109289617	0.12459016393442625	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	121.00844009999857	cosine	0.0
25	25	0.0	3.0	1.0	0.4955441230504788	0.5128003104033702	200|1.0|cosine|15|False	0.0	0.9036792970895112	0.9069741900054916	15.0	1.0	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	200.0	0.08740894901144641	0.1186264308012487	0.08341608738828203	0.11320754716981132	0.0918032786885246	0.12459016393442625	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	114.03538926500187	cosine	0.0
26	26	0.0	3.0	1.0	0.7336795085203782	0.5116498979131774	200|0.4|cosine|90|False	0.0	0.9491488193300384	0.9067545304777596	90.0	0.4	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	200.0	0.518210197710718	0.1165452653485952	0.4945382323733863	0.1112214498510427	0.5442622950819672	0.12240437158469945	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	86.20075537700177	cosine	0.0
27	27	0.0	3.0	1.0	0.7463340459124985	0.5116498979131774	200|0.4|cosine|45|False	0.0	0.9515650741350906	0.9067545304777596	45.0	0.4	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	200.0	0.5411030176899063	0.1165452653485952	0.5163853028798411	0.1112214498510427	0.5683060109289617	0.12240437158469945	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	82.3052767900008	cosine	0.0
28	28	0.0	3.0	1.0	0.581825059814935	0.5162515478739483	200|0.3|cosine|45|False	0.0	0.9201537616694124	0.9076331685886876	45.0	0.3	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	200.0	0.24349635796045785	0.12486992715920915	0.2323733862959285	0.11916583912611718	0.2557377049180328	0.13114754098360654	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	82.5680337599988	cosine	0.0
