	contamination	dim_reduce_time	doc2vec_data_frac	doc2vec_epochs	doc2vec_min_count	epochs	f1_macro	fraction	hidden_neurons	in_f1	metric	model_name	model_path	model_train_data	model_type	n_components	out_f1	out_prec	out_rec	outlier_detector	seed	set_op_mix_ratio	time
16	0.1	266.0884764960065	1.0	100.0	1.0	3.0	0.9149082071583219	1.0	[1]	0.9822372152730097	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	4.0	0.8475791990436341	0.8846702317290552	0.8134732011145713	AE	42.0	1.0	5.239931819000049
17	0.1	266.0884764960065	1.0	100.0	1.0	4.0	0.9170057079342512	1.0	[1]	0.9826750654287449	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	4.0	0.8513363504397574	0.8885918003565062	0.8170791673496148	AE	42.0	1.0	6.4873145970050246
18	0.1	266.0884764960065	1.0	100.0	1.0	5.0	0.9121433197718696	1.0	[1]	0.9816600491586313	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	4.0	0.8426265903851079	0.8795008912655972	0.8087198819865595	AE	42.0	1.0	7.88371564199042
19	0.1	266.0884764960065	1.0	100.0	1.0	10.0	0.8987002466170497	1.0	[1]	0.9788538277059636	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	4.0	0.8185466655281359	0.854367201426025	0.7856089165710539	AE	42.0	1.0	13.866979395999806
20	0.1	266.0884764960065	1.0	100.0	1.0	100.0	0.9193892315432618	1.0	[1]	0.9831726224238987	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	4.0	0.8556058406626249	0.893048128342246	0.8211768562530732	AE	42.0	1.0	127.2114404610038
21	0.1	260.7041872550035	1.0	100.0	1.0	1.0	0.9113805922169862	1.0	[1]	0.9815008309201819	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.8412603535137905	0.8780748663101604	0.8074086215374529	AE	42.0	1.0	3.484111726997071
22	0.1	260.7041872550035	1.0	100.0	1.0	2.0	0.9114759331613466	1.0	[1]	0.981520733199988	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.8414311331227051	0.8782531194295901	0.8075725290935912	AE	42.0	1.0	4.024247665001894
23	0.1	260.7041872550035	1.0	100.0	1.0	3.0	0.9183404811552971	1.0	[1]	0.982953697346031	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.8537272649645632	0.8910873440285205	0.8193738731355515	AE	42.0	1.0	5.1992709019978065
24	0.1	260.7041872550035	1.0	100.0	1.0	4.0	0.9189125268214596	1.0	[1]	0.9830731110248678	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.8547519426180514	0.8921568627450981	0.8203573184723816	AE	42.0	1.0	6.5578847789875
25	0.1	260.7041872550035	1.0	100.0	1.0	5.0	0.919675254376343	1.0	[1]	0.983232329263317	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.856118179489369	0.8935828877005347	0.8216685789214883	AE	42.0	1.0	7.611215570010245
