	as_numpy	contamination	dim_reduce_time	dim_reducer	distance	doc2vec_data_frac	doc2vec_epochs	doc2vec_min_count	embedding_dims	f1_macro	fraction	in_f1	k	kwargs	metric	model	model_name	model_path	model_train_data	model_type	n_components	n_epochs_without_progress	name	out_f1	out_prec	out_rec	seed	set_op_mix_ratio	time
10	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.5190641145243856	0.15	0.8702342673403766	5.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	szubert	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	25.0	UMAP	0.1678939617083947	0.1265963353692393	0.24918032786885247	43.0	1.0	75.07324445199629
11	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.7204497648831615	0.15	0.9466227347611201	5.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	hinton	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	25.0	UMAP	0.4942767950052029	0.4716981132075472	0.5191256830601093	43.0	1.0	675.6775024849921
12	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.9459600991845726	0.15	0.990707026792022	5.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	50.0	UMAP	0.9012131715771231	0.9558823529411765	0.8524590163934426	43.0	1.0	212.91737862699665
13	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.5159102832937046	0.15	0.9146374679958599	5.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	szubert	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	50.0	UMAP	0.1171830985915493	0.12093023255813953	0.11366120218579236	43.0	1.0	86.57632700999966
14	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.5384837457045727	0.15	0.9139413859216654	5.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	hinton	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	50.0	UMAP	0.16302610548748003	0.15904365904365905	0.16721311475409836	43.0	1.0	632.3653209230106
15	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.6273978988941562	0.15	0.9274118100269662	15.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	2.0	UMAP	0.32738398776134625	0.3068833652007648	0.35081967213114756	43.0	1.0	72.24288191899541
16	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.9575313947455643	0.15	0.9925998476439221	15.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	szubert	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	2.0	UMAP	0.9224629418472065	0.964243146603099	0.8841530054644808	43.0	1.0	6.863143175985897
17	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.7171058084552894	0.15	0.9458999285988904	15.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	hinton	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	2.0	UMAP	0.4883116883116883	0.46534653465346537	0.5136612021857924	43.0	1.0	52.65509845298948
18	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.5154471028002184	0.15	0.9104640980735552	15.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	5.0	UMAP	0.12043010752688173	0.11851851851851852	0.12240437158469945	43.0	1.0	93.95415940599923
19	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.914355927788811	0.15	0.9863442543315162	15.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	szubert	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	5.0	UMAP	0.8423676012461059	0.9797101449275363	0.7387978142076502	43.0	1.0	16.372232964000432
20	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.8751203710873248	0.15	0.9813164393858047	15.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	hinton	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	5.0	UMAP	0.7689243027888447	0.9796954314720813	0.6327868852459017	43.0	1.0	272.46870900300564
21	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.8111827293159358	0.15	0.9665358622193155	15.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	15.0	UMAP	0.6558295964125561	0.6731875719217492	0.639344262295082	43.0	1.0	127.22001710900804
22	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.5398055423117116	0.15	0.9099818311952871	15.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	szubert	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	15.0	UMAP	0.1696292534281361	0.15844402277039848	0.1825136612021858	43.0	1.0	38.19455269999162
23	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.4046166387846276	0.15	0.6633889619832422	15.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	hinton	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	15.0	UMAP	0.14584431558601302	0.086892797319933	0.453551912568306	43.0	1.0	437.8344998269895
24	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.5592270104023179	0.15	0.9157513181019332	15.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	25.0	UMAP	0.20270270270270271	0.19326065411298315	0.21311475409836064	43.0	1.0	136.54580121100298
25	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.6148201708413742	0.15	0.9318875326939844	15.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	szubert	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	25.0	UMAP	0.29775280898876405	0.3063583815028902	0.2896174863387978	43.0	1.0	51.0597301730013
26	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.6667355136334535	0.15	0.8927302865261663	15.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	hinton	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	25.0	UMAP	0.44074074074074077	0.30709677419354836	0.780327868852459	43.0	1.0	679.5311513049965
27	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.9312867804361398	0.15	0.9881495977386389	15.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	50.0	UMAP	0.8744239631336406	0.9244823386114495	0.8295081967213115	43.0	1.0	228.88637661701068
28	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.6108762974979113	0.15	0.9237292802467096	15.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	szubert	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	50.0	UMAP	0.298023314749113	0.277882797731569	0.32131147540983607	43.0	1.0	108.01660456400714
29	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.9538365080950613	0.15	0.9920660797739375	15.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	hinton	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	50.0	UMAP	0.915606936416185	0.9717791411042945	0.8655737704918033	43.0	1.0	620.9001960949972
30	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.9628340770087082	0.15	0.9934647641869079	50.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	2.0	UMAP	0.9322033898305084	0.9649122807017544	0.9016393442622951	43.0	1.0	89.07795046501269
31	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.6975591035643872	0.15	0.9435740111756328	50.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	szubert	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	2.0	UMAP	0.45154419595314166	0.4402907580477674	0.4633879781420765	43.0	1.0	14.337910619011382
32	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.9352856969190679	0.15	0.9892764298093588	50.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	hinton	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	2.0	UMAP	0.8812949640287769	0.9760956175298805	0.8032786885245902	43.0	1.0	111.11155511700781
