	allow_noise	cluster_n	completeness	f1_macro	f1_macro_LOF	hash	homogeneity	in_f1	in_f1_LOF	min_cluster_size	mix_ratio	model_data_frac	model_desc	model_epochs	model_min_count	model_name	model_path	model_train_data	model_type	n_comps	out_f1	out_f1_LOF	out_prec	out_prec_LOF	out_rec	out_rec_LOF	test_data_contamination	test_data_fraction	test_data_name	test_data_path	test_data_seed	time	umap_metric	v_measure
10	0.0	2.0	1.0	0.6514250154715966	0.5317821164915505	45|1.0|cosine|15|False	0.0	0.9334431630971994	0.9105985722130697	15.0	1.0	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	45.0	0.36940686784599375	0.1529656607700312	0.35253227408143	0.14597815292949354	0.3879781420765027	0.16065573770491803	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	40.6039242859988	cosine	0.0
11	0.0	3.0	1.0	0.4662086045505637	0.5317821164915505	45|1.0|cosine|90|False	0.0	0.8980779791323449	0.9105985722130697	90.0	1.0	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	45.0	0.03433922996878252	0.1529656607700312	0.03277060575968222	0.14597815292949354	0.036065573770491806	0.16065573770491803	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	44.92993546999787	cosine	0.0
12	0.0	3.0	1.0	0.5064730417073099	0.4782879356975876	200|0.0|cosine|90|False	0.0	0.9057660626029653	0.900384404173531	90.0	0.0	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	200.0	0.10718002081165454	0.05619146722164413	0.10228401191658391	0.05362462760675273	0.11256830601092896	0.05901639344262295	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	177.55939146100718	cosine	0.0
13	0.0	3.0	1.0	0.538684591432707	0.5283308790209722	200|0.15|cosine|45|False	0.0	0.9119165293794619	0.9099395936298736	45.0	0.15	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	200.0	0.16545265348595214	0.14672216441207075	0.15789473684210525	0.1400198609731877	0.1737704918032787	0.1540983606557377	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	91.32186547199672	cosine	0.0
14	0.0	3.0	1.0	0.483464791903455	0.5283308790209722	200|0.15|cosine|90|False	0.0	0.9013728720483252	0.9099395936298736	90.0	0.15	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	200.0	0.06555671175858481	0.14672216441207075	0.06256206554121152	0.1400198609731877	0.06885245901639345	0.1540983606557377	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	87.3841059809929	cosine	0.0
15	0.0	3.0	1.0	0.4644829858152746	0.5329325289817433	200|0.3|cosine|45|False	0.0	0.8977484898407468	0.9108182317408018	45.0	0.3	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	200.0	0.031217481789802288	0.15504682622268467	0.029791459781529295	0.14796425024826215	0.03278688524590164	0.1628415300546448	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	70.68266062600014	cosine	0.0
16	0.0	3.0	1.0	0.47311107949172015	0.5329325289817433	200|0.3|cosine|90|False	0.0	0.8993959362987369	0.9108182317408018	90.0	0.3	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	200.0	0.046826222684703434	0.15504682622268467	0.044687189672293945	0.14796425024826215	0.04918032786885246	0.1628415300546448	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	77.47369859799801	cosine	0.0
17	0.0	3.0	1.0	0.547887891354249	0.5329325289817433	200|0.4|cosine|45|False	0.0	0.913673805601318	0.9108182317408018	45.0	0.4	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	200.0	0.18210197710718	0.15504682622268467	0.17378351539225423	0.14796425024826215	0.1912568306010929	0.1628415300546448	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	83.80450925699552	cosine	0.0
18	0.0	3.0	1.0	0.4685094295309492	0.5329325289817433	200|0.4|cosine|90|False	0.0	0.8985172981878089	0.9108182317408018	90.0	0.4	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	200.0	0.03850156087408949	0.15504682622268467	0.036742800397219465	0.14796425024826215	0.040437158469945354	0.1628415300546448	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	90.2871151480067	cosine	0.0
19	0.0	2.0	1.0	0.5243044353052977	0.5317821164915505	45|1.0|cosine|45|False	0.0	0.9091707852828117	0.9105985722130697	45.0	1.0	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	45.0	0.13943808532778357	0.1529656607700312	0.13306852035749753	0.14597815292949354	0.146448087431694	0.16065573770491803	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	41.67706259999977	cosine	0.0
20	0.0	2.0	1.0	0.58824830031194	0.5415606226581888	200|1.0|cosine|15|False	0.0	0.9214211191038383	0.9124656781987919	15.0	1.0	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	200.0	0.25507548152004167	0.17065556711758587	0.24353876739562624	0.1628599801390268	0.2677595628415301	0.17923497267759564	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	110.89052684600756	cosine	0.0
