	contamination	dim_reduce_time	doc2vec_data_frac	doc2vec_epochs	doc2vec_min_count	epochs	f1_macro	fraction	hidden_neurons	in_f1	metric	model_name	model_path	model_train_data	model_type	n_components	out_f1	out_prec	out_rec	outlier_detector	seed	set_op_mix_ratio	time
0	0.1	323.07444497399774	1.0	100.0	1.0	1.0	0.9340717369747671	1.0	[1]	0.986237573514046	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	2.0	0.8819059004354881	0.9204991087344029	0.8464186198983773	AE	42.0	1.0	5.08631008500015
1	0.1	323.07444497399774	1.0	100.0	1.0	3.0	0.9612439061174878	1.0	[1]	0.9919097232587993	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	2.0	0.9305780889761762	0.971301247771836	0.8931322733978037	AE	42.0	1.0	5.4677421749984205
2	0.1	323.07444497399774	1.0	100.0	1.0	5.0	0.9561908360663853	1.0	[1]	0.9908549024290733	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	2.0	0.9215267697036973	0.9618538324420678	0.8844451729224717	AE	42.0	1.0	7.272799219997978
3	0.1	323.07444497399774	1.0	100.0	1.0	1.0	0.9338810550860461	1.0	[2]	0.9861977689544338	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	2.0	0.8815643412176586	0.9201426024955437	0.8460908047861007	AE	42.0	1.0	3.0559619500018016
4	0.1	323.07444497399774	1.0	100.0	1.0	3.0	0.9536166305686539	1.0	[2]	0.9903175408743071	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	2.0	0.9169157202630006	0.9570409982174688	0.8800196689067366	AE	42.0	1.0	5.330935805999616
5	0.1	323.07444497399774	1.0	100.0	1.0	5.0	0.952281857347608	1.0	[2]	0.990038908957021	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	2.0	0.9145248057381948	0.9545454545454546	0.8777249631207998	AE	42.0	1.0	7.319113507997827
6	0.1	323.07444497399774	1.0	100.0	1.0	1.0	0.9338810550860461	1.0	[2, 1, 2]	0.9861977689544338	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	2.0	0.8815643412176586	0.9201426024955437	0.8460908047861007	AE	42.0	1.0	3.2572259869994014
7	0.1	323.07444497399774	1.0	100.0	1.0	3.0	0.9155755937688448	1.0	[2, 1, 2]	0.9823765312316526	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	2.0	0.848774656306037	0.8859180035650623	0.8146205540075397	AE	42.0	1.0	6.3528158650005935
8	0.1	323.07444497399774	1.0	100.0	1.0	5.0	0.9561908360663853	1.0	[2, 1, 2]	0.9908549024290733	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	2.0	0.9215267697036973	0.9618538324420678	0.8844451729224717	AE	42.0	1.0	9.261773989001085
9	0.1	323.07444497399774	1.0	100.0	1.0	1.0	0.9337857141416858	1.0	[2, 1, 1, 2]	0.9861778666746276	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	2.0	0.8813935616087439	0.919964349376114	0.8459268972299623	AE	42.0	1.0	3.782391328997619
10	0.1	323.07444497399774	1.0	100.0	1.0	3.0	0.954760721900979	1.0	[2, 1, 1, 2]	0.990556368231981	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	2.0	0.918965075569977	0.9591800356506239	0.8819865595803966	AE	42.0	1.0	6.3276366499994765
11	0.1	323.07444497399774	1.0	100.0	1.0	5.0	0.9561908360663853	1.0	[2, 1, 1, 2]	0.9908549024290733	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	2.0	0.9215267697036973	0.9618538324420678	0.8844451729224717	AE	42.0	1.0	10.69845122300103
12	0.1	381.6118429390008	1.0	100.0	1.0	1.0	0.964866862003184	1.0	[1]	0.992666009891433	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	4.0	0.9370677141149347	0.9780748663101604	0.8993607605310605	AE	42.0	1.0	3.900232446998416
