	cluster_n	completeness	contamination	data_frac	f1_macro	hash	homogeneity	in_f1	min_cluster_sizes_	mix_ratios_	n_comps_	out_f1	out_prec	out_rec	seed	time	umap_metrics_	v_measure
0	3.0	1.0	0.1	0.15	0.5139507228935629	3|0.5|cosine|90	0.0	0.9071938495332236	90.0	0.5	3.0	0.12070759625390218	0.11519364448857994	0.126775956284153	42.0	36.77062441999442	cosine	0.0
1	4.0	5.393889321898593e-05	0.1	0.15	0.5104994854229846	45|1.0|cosine|90	2.123660210851973e-05	0.9065348709500276	90.0	1.0	45.0	0.11446409989594172	0.10923535253227408	0.12021857923497267	42.0	48.22748283999681	cosine	3.0474792576362918e-05
2	5.0	0.001975586269726015	0.1	0.15	0.49842015427596076	45|0.5|cosine|90	0.004437667767155022	0.9042284459088413	90.0	0.5	45.0	0.09261186264308013	0.08838133068520357	0.09726775956284153	42.0	37.52450034600042	cosine	0.0027340240882336307
3	5.0	0.002915439344607645	0.1	0.15	0.494393710560286	3|1.0|cosine|90	0.0052074233447279815	0.9034596375617792	90.0	1.0	3.0	0.08532778355879293	0.0814299900695134	0.08961748633879782	42.0	34.342181664003874	cosine	0.003738073012899849
