	cluster_n	completeness	contamination	data_frac	f1_macro	hash	homogeneity	in_f1	min_cluster_sizes_	mix_ratios_	n_comps_	out_f1	out_prec	out_rec	seed	time	umap_metrics_	v_measure
0	5.0	0.22029488032059794	0.1	0.15	0.5128003104033702	10|1.0|cosine|120	0.23496725818052747	0.9069741900054916	120.0	1.0	10.0	0.1186264308012487	0.11320754716981132	0.12459016393442623	44.0	22.36477639700024	cosine	0.22739463549750197
1	5.0	0.18889955611280537	0.1	0.15	0.5300564977562614	10|0.5|cosine|30	0.23745181221964137	0.9102690829214717	30.0	0.5	10.0	0.149843912591051	0.14299900695134063	0.15737704918032788	44.0	16.006099268999606	cosine	0.21041115501473523
2	6.0	0.18870045753390371	0.1	0.15	0.5191275790994302	10|1.0|cosine|60	0.2374751738003443	0.9081823174080175	60.0	1.0	10.0	0.13007284079084286	0.12413108242303873	0.1366120218579235	44.0	21.88644025800022	cosine	0.21029674460162945
3	6.0	0.18870045753390374	0.1	0.15	0.5243044353052977	10|1.0|cosine|90	0.2374751738003443	0.9091707852828117	90.0	1.0	10.0	0.13943808532778357	0.13306852035749753	0.146448087431694	44.0	22.33423760400001	cosine	0.21029674460162945
4	6.0	0.18791315176410314	0.1	0.15	0.529481291511165	10|0.3|cosine|30	0.23756864653852325	0.9101592531576056	30.0	0.3	10.0	0.14880332986472425	0.1420059582919563	0.15628415300546447	44.0	13.40832002300067	cosine	0.2098433978115041
5	5.0	0.23021003406640175	0.1	0.15	0.5421358289032853	10|0.3|cosine|120	0.24447185594450724	0.912575507962658	120.0	0.3	10.0	0.17169614984391263	0.16385302879841113	0.18032786885245902	42.0	14.254939371999853	cosine	0.23712669671879863
6	5.0	0.19363760657079268	0.1	0.15	0.5047474229720208	5|0.5|cosine|60	0.2452623839630604	0.9054365733113673	60.0	0.5	5.0	0.10405827263267428	0.09930486593843098	0.1092896174863388	42.0	14.589484527999957	cosine	0.21641386209503982
7	5.0	0.1934387929243311	0.1	0.15	0.5081986604425991	5|0.4|cosine|60	0.24528544529970497	0.9060955518945635	60.0	0.4	5.0	0.11030176899063476	0.10526315789473684	0.11584699453551912	42.0	13.522403680000025	cosine	0.21629860548736143
8	5.0	0.2408952513438209	0.1	0.15	0.5093490729327919	5|0.6|cosine|120	0.24662586614877888	0.9063152114222955	120.0	0.6	5.0	0.11238293444328826	0.10724925521350546	0.1180327868852459	43.0	16.173393653999938	cosine	0.2437268782093298
9	5.0	0.20166979781896763	0.1	0.15	0.543286241393478	5|0.3|cosine|60	0.24691332053881693	0.9127951674903899	60.0	0.3	5.0	0.17377731529656607	0.16583912611717974	0.1825136612021858	43.0	12.6501319099998	cosine	0.22200995710301025
10	5.0	0.20166979781896763	0.1	0.15	0.520277991589623	3|0.6|cosine|90	0.24691332053881693	0.9084019769357494	90.0	0.6	3.0	0.13215400624349638	0.12611717974180736	0.13879781420765028	43.0	16.690796859999864	cosine	0.22200995710301025
11	5.0	0.19571017907288502	0.1	0.15	0.5116498979131774	5|1.0|cosine|60	0.24708303207111032	0.9067545304777596	60.0	1.0	5.0	0.1165452653485952	0.1112214498510427	0.12240437158469945	42.0	19.590874115999895	cosine	0.2184164672605286
12	6.0	0.19571017907288507	0.1	0.15	0.529481291511165	5|1.0|cosine|90	0.24708303207111038	0.9101592531576056	90.0	1.0	5.0	0.14880332986472425	0.1420059582919563	0.15628415300546447	42.0	19.775500627999918	cosine	0.21841646726052863
13	5.0	0.19550706121401218	0.1	0.15	0.5087738666876954	3|0.3|cosine|60	0.2471060855922266	0.9062053816584293	60.0	0.3	3.0	0.1113423517169615	0.10625620655412116	0.11693989071038251	42.0	11.460780161999992	cosine	0.21829891385211528
