	as_numpy	contamination	dim_reduce_time	dim_reducer	distance	embedding_dims	f1_macro	fraction	in_f1	k	kwargs	metric	model	model_name	model_train_data	model_type	n_components	n_epochs_without_progress	name	out_f1	out_prec	out_rec	seed	set_op_mix_ratio	time
13		0.1	2.148399653378874e-05		pn	1.0	0.5751317303615772	0.05	0.9205983889528194	15.0			maaten	glove	unknown	wordembeddingpool		20.0		0.2296650717703349	0.2236024844720497	0.2360655737704918	42.0		21.698437113009277
14	0.0	0.1	13.888169942001696	<class 'umap.umap_.UMAP'>	pn	1.0	0.5161654693516644	0.05	0.8986182786748793	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	2.0	20.0	UMAP	0.1337126600284495	0.11809045226130653	0.1540983606557377	43.0	1.0	18.71393448500021
15	0.0	0.1	13.546814261993859	<class 'umap.umap_.UMAP'>	pn	1.0	0.5034921322106677	0.05	0.9123896698267407	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	8.0	20.0	UMAP	0.0945945945945946	0.0975609756097561	0.09180327868852459	43.0	1.0	18.150450443994487
16	0.0	0.1	14.937499108011252	<class 'umap.umap_.UMAP'>	pn	1.0	0.4999189916075305	0.05	0.9053497942386831	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	64.0	20.0	UMAP	0.09448818897637795	0.09090909090909091	0.09836065573770492	43.0	1.0	18.170195444006822
17	0.0	0.1	16.297621581994463	<class 'umap.umap_.UMAP'>	pn	1.0	0.5007440476190477	0.05	0.90625	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	128.0	20.0	UMAP	0.09523809523809523	0.09230769230769231	0.09836065573770492	43.0	1.0	23.033373065001797
18	0.0	0.1	28.788946189990384	<class 'umap.umap_.UMAP'>	pn	1.0	0.49909905271828664	0.05	0.9044481054365733	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	256.0	20.0	UMAP	0.09375000000000001	0.08955223880597014	0.09836065573770492	43.0	1.0	39.485394457005896
19	0.0	0.1	29.699846564006293	<class 'umap.umap_.UMAP'>	pn	1.0	0.662794915157951	0.05	0.9355742296918769	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	300.0	20.0	UMAP	0.390015600624025	0.37202380952380953	0.4098360655737705	43.0	1.0	85.8633645910013
20		0.1	4.45000478066504e-06		pn	1.0	0.5668548890714873	0.05	0.9193097781429745	15.0			maaten	extvec	unknown	wordembeddingpool		20.0		0.21439999999999998	0.209375	0.21967213114754097	43.0		46.00802818700322
21	0.0	0.1	11.736965071002487	<class 'umap.umap_.UMAP'>	pn	1.0	0.6873880072822145	0.05	0.9399934058687768	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	glove	unknown	wordembeddingpool	2.0	20.0	UMAP	0.4347826086956522	0.41297935103244837	0.45901639344262296	43.0	1.0	20.637155673990492
22	0.0	0.1	11.923151444992982	<class 'umap.umap_.UMAP'>	pn	1.0	0.7814617588654431	0.05	0.9612428454619786	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	glove	unknown	wordembeddingpool	8.0	20.0	UMAP	0.6016806722689076	0.6172413793103448	0.5868852459016394	43.0	1.0	18.369779390006443
