	allow_noise	cluster_n	completeness	f1_macro	f1_macro_LOF	hash	homogeneity	in_f1	in_f1_LOF	min_cluster_size	mix_ratio	model_data_frac	model_desc	model_epochs	model_min_count	model_name	model_path	model_size_params	model_train_data	model_type	n_comps	out_f1	out_f1_LOF	out_prec	out_prec_LOF	out_rec	out_rec_LOF	test_data_contamination	test_data_fraction	test_data_name	test_data_path	test_data_seed	time	umap_metric	v_measure
11	0.0	1.0	1.0	0.47619295415517515	0.6157622282756213	-1|1.0|euclidean|500|False	0.0	0.9523859083103503	0.9266337177375069	500.0	1.0		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.3048907388137357	0.0	0.29096325719960275	0.0	0.32021857923497266	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	42.0	533.1939241680084	euclidean	0.0
12	0.0	1.0	1.0	0.47619295415517515	0.6238151157069705	-1|1.0|cosine|250|False	0.0	0.9523859083103503	0.9281713344316309	250.0	1.0		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.3194588969823101	0.0	0.30486593843098314	0.0	0.3355191256830601	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	42.0	387.4620423789893	cosine	0.0
13	0.0	1.0	1.0	0.47619295415517515	0.6238151157069705	-1|1.0|cosine|500|False	0.0	0.9523859083103503	0.9281713344316309	500.0	1.0		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.3194588969823101	0.0	0.30486593843098314	0.0	0.3355191256830601	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	42.0	400.64059049799107	cosine	0.0
14	0.0	1.0	1.0	0.47619295415517515	0.6203638782363923	-1|1.0|cosine|500|False	0.0	0.9523859083103503	0.9275123558484349	500.0	1.0		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31321540062434966	0.0	0.29890764647467727	0.0	0.3289617486338798	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	375.08997193700634	cosine	0.0
15	0.0	1.0	1.0	0.47619295415517515	0.6238151157069705	-1|0.15|cosine|250|False	0.0	0.9523859083103503	0.9281713344316309	250.0	0.15		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.3194588969823101	0.0	0.30486593843098314	0.0	0.3355191256830601	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	42.0	379.4876457839855	cosine	0.0
16	0.0	1.0	1.0	0.47619295415517515	0.6203638782363923	-1|1.0|cosine|250|False	0.0	0.9523859083103503	0.9275123558484349	250.0	1.0		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31321540062434966	0.0	0.29890764647467727	0.0	0.3289617486338798	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	361.51485221800976	cosine	0.0
17	0.0	1.0	1.0	0.47619295415517515	0.6186382595011031	-1|1.0|euclidean|250|False	0.0	0.9523859083103503	0.9271828665568369	250.0	1.0		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31009365244536935	0.0	0.2959285004965243	0.0	0.3256830601092896	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	472.40092760900734	euclidean	0.0
18	0.0	1.0	1.0	0.47619295415517515	0.6203638782363923	-1|0.4|cosine|500|False	0.0	0.9523859083103503	0.9275123558484349	500.0	0.4		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31321540062434966	0.0	0.29890764647467727	0.0	0.3289617486338798	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	374.86478527399595	cosine	0.0
19	0.0	1.0	1.0	0.47619295415517515	0.6203638782363923	-1|0.4|cosine|250|False	0.0	0.9523859083103503	0.9275123558484349	250.0	0.4		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31321540062434966	0.0	0.29890764647467727	0.0	0.3289617486338798	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	361.32719914300833	cosine	0.0
20	0.0	1.0	1.0	0.47619295415517515	0.6186382595011031	-1|0.4|euclidean|500|False	0.0	0.9523859083103503	0.9271828665568369	500.0	0.4		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31009365244536935	0.0	0.2959285004965243	0.0	0.3256830601092896	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	486.2298346699972	euclidean	0.0
21	0.0	1.0	1.0	0.47619295415517515	0.6186382595011031	-1|0.4|euclidean|250|False	0.0	0.9523859083103503	0.9271828665568369	250.0	0.4		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31009365244536935	0.0	0.2959285004965243	0.0	0.3256830601092896	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	472.549340254016	euclidean	0.0
