	cluster_n	completeness	contamination	data_frac	f1_macro	hash	homogeneity	in_f1	min_cluster_sizes_	mix_ratios_	n_comps_	out_f1	out_prec	out_rec	seed	time	umap_metrics_	v_measure
107	4.0	0.7834351819738157	0.1	0.15	0.5835506785502242	5|1.0|cosine|90	0.6877066019965781	0.9204832509610105	90.0	1.0	5.0	0.24661810613943808	0.23535253227408143	0.25901639344262295	43.0	21.015286665999156	cosine	0.7324563176034787
108	4.0	0.7468661784466902	0.1	0.15	0.5369589726974178	5|0.3|cosine|60	0.6898547239596697	0.9115870400878637	60.0	0.3	5.0	0.16233090530697192	0.15491559086395235	0.17049180327868851	43.0	13.32017540599918	cosine	0.7172292969416662
109	4.0	0.7476619391378491	0.1	0.15	0.5870019160208024	5|0.3|cosine|120	0.6911816018612517	0.9211422295442064	120.0	0.3	5.0	0.25286160249739853	0.2413108242303873	0.26557377049180325	44.0	13.88232108700322	cosine	0.7183132314513565
110	4.0	0.7905577601935714	0.1	0.15	0.6157622282756213	5|0.6|cosine|120	0.6926656442178771	0.9266337177375069	120.0	0.6	5.0	0.3048907388137357	0.29096325719960275	0.32021857923497266	44.0	16.93558082600066	cosine	0.7383812831260034
111	4.0	0.791293296810094	0.1	0.15	0.5824002660600315	3|0.3|cosine|60	0.6939574986965193	0.9202635914332784	60.0	0.3	3.0	0.2445369406867846	0.2333664349553128	0.2568306010928962	43.0	12.306182180000178	cosine	0.7394359506838052
112	4.0	0.7898788239417158	0.1	0.15	0.5800994410796461	5|0.6|cosine|60	0.6940083951726731	0.9198242723778145	60.0	0.6	5.0	0.24037460978147765	0.22939424031777558	0.25245901639344265	43.0	16.590481275001366	cosine	0.7388466292092386
113	4.0	0.7906179070985481	0.1	0.15	0.639920890569669	10|0.6|cosine|120	0.6953035152141792	0.9312465678198791	120.0	0.6	10.0	0.3485952133194589	0.3326713008937438	0.366120218579235	44.0	18.568211300997064	cosine	0.7399037415333848
114	4.0	0.7549150282031802	0.1	0.15	0.6025324846384047	5|1.0|cosine|120	0.6996776152294385	0.9241076331685888	120.0	1.0	5.0	0.2809573361082206	0.26812313803376364	0.29508196721311475	43.0	21.241368483999395	cosine	0.7262475154385493
115	4.0	0.792212848357817	0.1	0.15	0.5893027410011881	5|0.5|cosine|90	0.700580746550648	0.9215815485996706	90.0	0.5	5.0	0.2570239334027055	0.24528301886792453	0.26994535519125684	43.0	15.72508421800012	cosine	0.7435844722572872
116	6.0	0.2636131880886931	0.1	0.15	0.6019572783933083	10|1.0|cosine|30	0.7014223348468569	0.9239978034047227	30.0	1.0	10.0	0.2799167533818939	0.2671300893743793	0.2939890710382514	44.0	22.503290296997875	cosine	0.3832069877036922
117	4.0	0.7943312742200591	0.1	0.15	0.5620630001852392	3|0.6|cosine|120	0.7018075704616409	0.92051352089593	120.0	0.6	3.0	0.20361247947454844	0.20394736842105263	0.20327868852459016	44.0	15.724045157003275	cosine	0.7452085128110942
118	4.0	0.7910541098810869	0.1	0.15	0.5530647475601165	3|0.5|cosine|120	0.7034118309080676	0.9146622734761122	120.0	0.5	3.0	0.19146722164412072	0.182720953326713	0.2010928961748634	43.0	14.642438814000343	cosine	0.7446630994949003
119	4.0	0.7910541098810869	0.1	0.15	0.561692841236562	3|0.5|cosine|90	0.7034118309080676	0.9163097199341022	90.0	0.5	3.0	0.20707596253902186	0.19761668321747766	0.2174863387978142	43.0	14.365472892997786	cosine	0.7446630994949003
120	6.0	0.48438134745538014	0.1	0.15	0.5530647475601165	10|1.0|cosine|60	0.7040892432681082	0.9146622734761122	60.0	1.0	10.0	0.19146722164412072	0.182720953326713	0.2010928961748634	44.0	23.0145161679975	cosine	0.5739270269623254
121	4.0	0.7944590551956334	0.1	0.15	0.5927539784717663	5|0.4|cosine|90	0.7045049795969163	0.9222405271828665	90.0	0.4	5.0	0.26326742976066597	0.2512413108242304	0.27650273224043714	43.0	14.733751261999714	cosine	0.7467829080350754
122	4.0	0.7973241339157717	0.1	0.15	0.5990812471678264	10|0.5|cosine|90	0.7070456545531323	0.9234486545853926	90.0	0.5	10.0	0.27471383975026015	0.26216484607745777	0.28852459016393445	43.0	17.150599056003557	cosine	0.7494760510037176
123	6.0	0.49747289370802	0.1	0.15	0.5179771666092374	5|0.6|cosine|60	0.7083138492493017	0.9079626578802855	60.0	0.6	5.0	0.1279916753381894	0.1221449851042701	0.13442622950819672	44.0	16.72365573800198	cosine	0.5844598015322321
124	6.0	0.4900968944517256	0.1	0.15	0.5881523285109952	10|0.5|cosine|60	0.708449892992658	0.9213618890719384	60.0	0.5	10.0	0.25494276795005205	0.24329692154915591	0.2677595628415301	44.0	16.938380003994098	cosine	0.5793834601496033
125	4.0	0.7974717435158853	0.1	0.15	0.6002316596580192	5|0.4|cosine|120	0.7097650117459807	0.9236683141131247	120.0	0.4	5.0	0.27679500520291367	0.2641509433962264	0.2907103825136612	43.0	14.968957573997614	cosine	0.7510665320861296
126	5.0	0.6692492247953743	0.1	0.15	0.5749225848737787	3|0.5|cosine|30	0.7099167657189533	0.9188358045030203	30.0	0.5	3.0	0.23100936524453697	0.22045680238331677	0.24262295081967214	43.0	14.227658365001844	cosine	0.688983412285953
127	4.0	0.7270651521654797	0.1	0.15	0.6514250154715966	5|0.5|cosine|120	0.7127716966740013	0.9334431630971994	120.0	0.5	5.0	0.36940686784599375	0.35253227408143	0.3879781420765027	42.0	15.821268252002483	cosine	0.719847477885051
128	4.0	0.7997449641321528	0.1	0.15	0.6324432093834162	3|0.5|cosine|120	0.7137312663734267	0.9298187808896211	120.0	0.5	3.0	0.3350676378772113	0.31976166832174774	0.3519125683060109	44.0	14.641512766997039	cosine	0.7542939552280044
129	4.0	0.7500733896651626	0.1	0.15	0.6151870220305249	5|0.3|cosine|90	0.7139900804958611	0.9265238879736408	90.0	0.3	5.0	0.30385015608740895	0.2899702085402185	0.3191256830601093	42.0	13.48285607300204	cosine	0.7315870804507285
130	4.0	0.7999505657709324	0.1	0.15	0.6146118157854286	3|0.4|cosine|90	0.7165010561502614	0.9264140582097748	90.0	0.4	3.0	0.30280957336108216	0.28897715988083417	0.3180327868852459	43.0	13.766698794002878	cosine	0.7559297203516832
